"","V1","V2","V3","V4"
"893",14768,14678,14725,14959
"894",20824,20847,20841,16837
"895",7478,7445,7023,7178
"896",11731,12200,11384,11986
"897",3650,3064,3394,3158
"898",14798,14644,19713,15004
"899",14804,14662,24382,14904
"900",14979,19770,19889,14999
"901",20330,20223,24359,16352
"902",15333,15954,15773,15516
"903",14780,14204,14342,14264
"904",22459,21203,23169,23154
"905",6778,7121,6409,6972
"906",1555,1534,21723,1596
"907",24097,8839,8832,8803
"908",8500,7403,18700,18683
"909",14548,14395,13893,14128
"910",10095,10139,23121,10089
"911",20808,20813,21349,16801
"912",20845,16789,20806,16839
"913",13402,13747,12274,12148
"914",15448,14988,15486,15274
"915",14416,14447,21474,21473
"916",7395,11132,11174,10920
"917",23579,21503,24360,23826
"918",20532,20630,20597,16611
"919",12296,12072,11735,12294
"920",12650,19485,13892,14220
"921",16222,16119,23851,20411
"922",20437,20476,21329,16124
"923",7275,7013,10794,7207
"924",4224,4684,4149,4536
"925",14737,14824,14965,14872
"926",13726,14127,12620,13884
"927",20476,20606,21329,20512
"928",16517,16229,16356,16231
"929",11018,11025,22412,11069
"930",12142,12091,24122,12279
"931",5312,5126,5100,5545
"932",16549,16764,23408,23407
"933",16226,16504,21329,20523
"934",15532,20089,19994,15372
"935",12319,12027,12423,12338
"936",23131,23309,23790,23620
"937",11376,11829,22220,11518
"938",14294,14974,14730,14572
